N,S,E
0.12,0.784,0.558854
0.136,0.845,0.621387
0.188,0.705,0.945612
0.204,0.74,0.515765
0.212,0.723,1.28114
0.213,0.694,0.930899
0.226,0.741,1.08618
0.231,0.62,0.95402
0.231,0.781,1.24987
0.355,0.613,1.22675
0.365,0.706,1.28875
0.365,0.584,1.10772
0.382,0.789,0.899369
0.4,0.606,1.00604
0.432,0.745,0.980557
0.549,0.455,1.15922
0.638,0.499,1.25276
0.762,0.486,1.01682
0.829,0.602,1.08408
0.841,0.475,1.12717
0.89,0.449,0.844719
1.087,0.334,1.27824
1.777,0.189,0.956122
1.8,0.218,1.06569
0.221,0.172,0.442985
0.255,0.118,0.50289
0.328,0.159,0.691277
0.44,0.123,1.02549
0.758,0.102,1.12349
1.103,0.074,1.10904
0.432,0.033,1.66159
0.6,0.038,1.5021
0.954,0.027,1.40594
1.576,0.025,1.2454
