Index,N,S,E,Testing
1,482,0.589,0.6784,No
2,763,0.629,0.8165,Yes
3,763,0.629,0.7724,No
4,313,0.348,1.1271,Yes
5,313,0.348,1.0993,No
6,526,0.351,0.9775,No
7,526,0.351,1.1075,No
8,367,0.161,1.105,No
9,642,0.196,0.9456,No
10,642,0.196,0.8615,No
11,957,0.178,0.9236,No
12,957,0.178,0.8075,No
13,484,0.253,0.7389,No
14,484,0.253,0.886,No
15,484,0.253,0.7593,No
16,551,0.295,0.9334,No
17,551,0.295,0.944,No
18,228,0.187,0.7348,No
19,228,0.187,0.8484,No
20,317,0.256,0.5403,No
21,317,0.256,0.586,No
22,327,0.231,0.6988,No
23,327,0.231,0.7094,No
24,605,0.1,1.0895,No
25,605,0.1,0.7487,No
26,383,0.13,0.7871,Yes
27,526,0.11,1.0151,No
28,526,0.11,0.819,No
29,453,0.24,1.3543,No
30,323,0.16,0.8835,No
31,490,0.25,0.8124,Yes
32,389,0.39,1.5439,Yes
33,206,0.155,0.7104,No
34,379,0.203,1.2131,No
35,405,0.685,0.8856,No
36,445,0.763,0.8793,No
37,460,0.799,1.0665,Yes
38,563,0.166,0.9897,Yes
39,637,0.189,1.2817,No
40,732,0.215,1.0013,Yes
41,752,0.209,1.1581,Yes
42,777,0.77,1.0485,No
