Index,N,S,E
1,120,0.784,0.558854
2,136,0.845,0.621387
3,188,0.705,0.945612
4,204,0.74,0.515765
5,212,0.723,1.28114
6,213,0.694,0.930899
7,226,0.741,1.08618
8,231,0.62,0.95402
9,231,0.781,1.24987
10,355,0.613,1.22675
11,365,0.706,1.28875
12,365,0.584,1.10772
13,382,0.789,0.899369
14,400,0.606,1.00604
15,432,0.745,0.980557
16,549,0.455,1.15922
17,638,0.499,1.25276
18,762,0.486,1.01682
19,829,0.602,1.08408
20,841,0.475,1.12717
21,890,0.449,0.844719
22,1087,0.334,1.27824
23,1777,0.189,0.956122
24,1800,0.218,1.06569
25,221,0.172,0.442985
26,255,0.118,0.50289
27,328,0.159,0.691277
28,440,0.123,1.02549
29,758,0.102,1.12349
30,1103,0.074,1.10904
31,432,0.033,1.66159
32,600,0.038,1.5021
33,954,0.027,1.40594
34,1576,0.025,1.2454
